Designator,Mid X,Mid Y,Rotation,Layer
_5,155.94,-70.37,0.0,top
_4,142.74,-55.81,0.0,top
_3,163.28,-70.38,0.0,top
_2,159.62,-70.38,0.0,top
,146.57,-55.8,0.0,top
BAT1,145.785,-52.8,0.0,bottom
C1,151.88,-70.14,180.0,top
C2,149.265,-59.2,0.0,top
C3,141.945,-70.133,0.0,top
C4,145.565,-62.383,0.0,top
C5,132.5025,-55.43,180.0,top
C6,188.66,-65.55,90.0,top
C7,187.275,-61.41,180.0,top
C8,133.05,-39.085,270.0,top
C9,167.16,-45.4,90.0,top
D1,134.965,-63.653,270.0,top
L1,144.915,-66.273,90.0,top
R1,140.4575,-62.383,180.0,top
R2,135.005,-68.8105,270.0,top
R3,132.5225,-52.1,180.0,top
R4,191.74,-62.8775,270.0,top
R5,194.61,-58.71,90.0,top
R6,125.7575,-64.44,0.0,top
R7,125.7575,-67.75,0.0,top
R8,152.8525,-43.9,180.0,top
R9,152.8525,-40.59,180.0,top
RF1,193.6,-39.11,0.0,top
RF2,124.3,-38.82,0.0,top
SW1,190.93,-54.89,90.0,top
U1,142.1675,-43.25,180.0,top
U2,173.5,-60.68,180.0,top
U3,177.97,-44.51,0.0,top
U4,138.675,-66.553,0.0,top
U5,153.57,-64.79,0.0,top
USB1,123.41,-56.82,270.0,top
